x_GeV_per_c2,y_cm2
3.098634294385432586e+00,8.738715652972078882e-44
3.101669195751138197e+00,8.674289999354737066e-44
3.104704097116843808e+00,8.610830077503486591e-44
3.107738998482549420e+00,8.548333497906543030e-44
3.110773899848255031e+00,8.486064836983843622e-44
3.113808801213960642e+00,8.424729201253075481e-44
3.116843702579666253e+00,8.363601785215608517e-44
3.119878603945371864e+00,8.303377486479401055e-44
3.122913505311077476e+00,8.243341930830631702e-44
3.125948406676783087e+00,8.184179999656771936e-44
3.128983308042488698e+00,8.125187571357062371e-44
3.132018209408194309e+00,8.067736461275413000e-44
3.135053110773899920e+00,8.010459986162876085e-44
3.138088012139605532e+00,7.953369922102149280e-44
3.141122913505311143e+00,7.897126172190017997e-44
3.144157814871016754e+00,7.841048516595510439e-44
3.147192716236722365e+00,7.785787552837324409e-44
3.150227617602427976e+00,7.731340398618552602e-44
3.153262518968133588e+00,7.677704138901947915e-44
3.156297420333839199e+00,7.624217312548686823e-44
3.159332321699544810e+00,7.571512301415245318e-44
3.162367223065250421e+00,7.518936834057395481e-44
3.165402124430956032e+00,7.467114587310745837e-44
3.168437025796661644e+00,7.416042810555326319e-44
3.171471927162367255e+00,7.365718729067563775e-44
3.174506828528072866e+00,7.315507693691000477e-44
3.177541729893778477e+00,7.266016324706274258e-44
3.180576631259484088e+00,7.216618612693201977e-44
3.183611532625189700e+00,7.167324155331080295e-44
3.186646433990895311e+00,7.119341710674331218e-44
3.189681335356600922e+00,7.071464431878129259e-44
3.192716236722306533e+00,7.024278097685113913e-44
3.195751138088012144e+00,6.977176990902225854e-44
3.198786039453717756e+00,6.930739137189179872e-44
3.201820940819423367e+00,6.884366956219487890e-44
3.204855842185128978e+00,6.838659654902006198e-44
3.207890743550834589e+00,6.793613817747693629e-44
3.210925644916540200e+00,6.748643148345471776e-44
3.213960546282245812e+00,6.704306232004764137e-44
3.216995447647951423e+00,6.660599805475558846e-44
3.220030349013657034e+00,6.617520617522763007e-44
3.223065250379362645e+00,6.574497579058114988e-44
3.226100151745068256e+00,6.531538179708038033e-44
3.229135053110773868e+00,6.489182584931573388e-44
3.232169954476479479e+00,6.447427292000667469e-44
3.235204855842185090e+00,6.406268821419444515e-44
3.238239757207890701e+00,6.365153947915067113e-44
3.241274658573596312e+00,6.324609057636520900e-44
3.244309559939301923e+00,6.284630843258606258e-44
3.247344461305007535e+00,6.244702961146047681e-44
