x_GeV_per_c2,y_cm2
1.848109925168349710e+00,4.259264995799838213e-42
1.850228091128127916e+00,4.227945524356454738e-42
1.852348684771980558e+00,4.197722372452565883e-42
1.854471708882338143e+00,4.167838402843246743e-42
1.856597166244820851e+00,4.136971205209322741e-42
1.858725059648240530e+00,4.106409364992154694e-42
1.860855391884606469e+00,4.076700541605796727e-42
1.862988165749126734e+00,4.045961342662167411e-42
1.865123384040214161e+00,4.015449081686187946e-42
1.867261049559488129e+00,3.986383911246207327e-42
1.869401165111779228e+00,3.956910675282483494e-42
1.871543733505133256e+00,3.927015522753184538e-42
1.873688757550813655e+00,3.898578710956056634e-42
1.875836240063306404e+00,3.870333817823448796e-42
1.877986183860323122e+00,3.841051081312185142e-42
1.880138591762804401e+00,3.812583396091086508e-42
1.882293466594924913e+00,3.784890786848556875e-42
1.884450811184095409e+00,3.756225065145653247e-42
1.886610628360967601e+00,3.728397302195849226e-42
1.888772920959437274e+00,3.701367506000789134e-42
1.890937691816648503e+00,3.673946151912445258e-42
1.893104943772996540e+00,3.646120694356808487e-42
1.895274679672133145e+00,3.619637183007667778e-42
1.897446902360967469e+00,3.592810491625774693e-42
1.899621614689673610e+00,3.565627481603051068e-42
1.901798819511690830e+00,3.539794793683792580e-42
1.903978519683729775e+00,3.514161974621839893e-42
1.906160718065774251e+00,3.487611865997898404e-42
1.908345417521086995e+00,3.461826289454091565e-42
1.910532620916211677e+00,3.436768426911270343e-42
1.912722331120978003e+00,3.410850340633430850e-42
1.914914551008503496e+00,3.385131795423244746e-42
1.917109283455201041e+00,3.360641231110019070e-42
1.919306531340777777e+00,3.335814522090850371e-42
1.921506297548242648e+00,3.310639805497066597e-42
1.923708584963908841e+00,3.286702043620123602e-42
1.925913396477397566e+00,3.262933430287114250e-42
1.928120734981641160e+00,3.238297017394112513e-42
1.930330603372889087e+00,3.214354744336814361e-42
1.932543004550708599e+00,3.191072771633065390e-42
1.934757941417991622e+00,3.166977025065287540e-42
1.936975416880956091e+00,3.143594276654407062e-42
1.939195433849151717e+00,3.120890690700897427e-42
1.941417995235462435e+00,3.097863154351128883e-42
1.943643103956110618e+00,3.074500892325353660e-42
1.945870762930661080e+00,3.052276066825129378e-42
1.948100975082025732e+00,3.029767591938919428e-42
1.950333743336464254e+00,3.006964192211791958e-42
1.952569070623593195e+00,2.984789861803162758e-42
1.954806959876384198e+00,2.962373210512679267e-42
1.957047414031171773e+00,2.940206461945439015e-42
1.959290436027655957e+00,2.918677523835107246e-42
1.961536028808904764e+00,2.896933806588593617e-42
1.963784195321361281e+00,2.875456099703390969e-42
1.966034938514843677e+00,2.853321352920980103e-42
1.968288261342552303e+00,2.832385573335657747e-42
1.970544166761071692e+00,2.811319975742822757e-42
1.972802657730375220e+00,2.790104522634035061e-42
1.975063737213828441e+00,2.770065134456134651e-42
1.977327408178193746e+00,2.749512441438056194e-42
1.979593673593633030e+00,2.729289961265964741e-42
1.981862536433713684e+00,2.709364869769787589e-42
1.984133999675409710e+00,2.689787957856242510e-42
1.986408066299107933e+00,2.670526396022882496e-42
1.988684739288611114e+00,2.650714794853862215e-42
1.990964021631141723e+00,2.632069457622798808e-42
1.993245916317345490e+00,2.613348531954988363e-42
1.995530426341296737e+00,2.594525783718795309e-42
1.997817554700499709e+00,2.576827184888967312e-42
2.000107304395896790e+00,2.558674735060539798e-42
2.002399678431867169e+00,2.540846247779018294e-42
2.004694679816235059e+00,2.523304773326317386e-42
2.006992311560271247e+00,2.506091405334143220e-42
2.009292576678697984e+00,2.489169553596841300e-42
2.011595478189693420e+00,2.472152975528247034e-42
2.013901019114894275e+00,2.455858575599445933e-42
